ts	phase	decision	why	evidence	result
2026-08-14T13:06:34Z	frame	set a behavior-preserving native refactor as the completion target	native runtime changes can compile while breaking focus, ownership, or pasteboard behavior	package.json, test/contract.test.ts, test/e2e/	open
2026-08-14T13:06:34Z	ground	measured the native implementation at 2020 lines in one Objective-C++ file	the file mixes registry, AX reads, edits, input events, pasteboard state, N-API parsing, and addon registration	native/insertable.mm	confirmed god file
2026-08-14T13:07:10Z	baseline	captured the pre-refactor build and test state	later checks need a real before value	npm run build:native; npm run typecheck; npm run lint; npm test; npm run test:contract; npm run test:e2e	build, typecheck, lint, 230 unit, and 12 contract tests pass; live e2e has 3 pre-existing failures
2026-08-14T13:09:00Z	ground	kept product policy in TypeScript and native code as raw OS operations plus the fused CAS primitive	the fake bridge and cross-platform unit tests rely on this seam	src/bridge.ts, src/capture.ts, src/insert.ts, src/draft.ts	constraint confirmed
2026-08-14T13:09:00Z	ground	added semantic numeric validation to the refactor requirements	type-only guards admit malformed ranges that can throw on a libuv worker	native/insertable.mm:1430, native/insertable.mm:1596, native/insertable.mm:842	open regression
2026-08-14T13:11:00Z	history	treated commits and tests as the design record	the connected GitHub repository has no matching PR or issue discussion; commit messages directly document measured engine behavior	git log, GitHub commit d821f21, GitHub commit 84aea83, GitHub commit ca7c98f, GitHub issue search	preserve measured invariants
2026-08-14T13:12:28Z	regression	made malformed CAS range rejection executable before changing native code	the exported boundary must reject inconsistent offsets before a worker sees them	test/contract.test.ts:133	expected failure: resolved element-gone instead of rejecting TypeError
2026-08-14T13:18:00Z	design	chose a flat domain split with per-environment token ownership and shared boundary validation	three candidates converged on the invariants; the cross-judge favored explicit lifetime ownership but rejected speculative caps and service layers	/tmp/macos-insertable-native-design/judge.md	selected with scope reductions
2026-08-14T13:18:00Z	design	kept N-API callbacks beside their workers	a separate binding and serializer stack adds trace depth without another platform implementation or test seam	native/ARCHITECTURE.md	one callback-to-worker-to-OS trace per domain
2026-08-14T13:34:09Z	migration	accepted the first extraction shape after the throughput checkpoint	ten implementation units compile in about 7 seconds; the largest is under 450 lines and contract behavior is unchanged	native/, npm run build:native, npm run test:contract	build green; 13 contract tests pass
2026-08-14T13:34:09Z	migration	preserved concurrent commit de500d6 instead of resetting it	main moved during the run with the same CAS regression and first guard; the new boundary parser absorbs that work	git commit de500d6, test/contract.test.ts	preserved
2026-08-14T13:46:26Z	implementation	deleted the catch-all translation unit and assigned every native responsibility to one named domain	maintainers should locate behavior by domain without carrying the entire addon in working memory	native/ARCHITECTURE.md, binding.gyp, native/*.mm	ten implementation modules; largest file 421 lines
2026-08-14T13:46:26Z	implementation	moved element and pasteboard token stores into per-environment AddonState	process-global registries retained resources beyond the N-API environment that created them	native/addon.mm, native/addon_state.h, native/addon_state.mm	environment cleanup owns abandoned tokens; admitted workers keep a shared state lease
2026-08-14T13:46:26Z	boundary	centralized semantic parsing for PIDs, timeouts, UTF-16 indexes, ranges, sentinels, and flags	type-only checks admitted NaN, infinity, fractions, negative lengths, inverted spans, and overflowing ends	native/napi_support.mm, native/accessibility_edit.mm, native/accessibility_cas.mm, test/contract.test.ts	malformed calls reject before worker queueing; legacy negative sentinel and nonzero flag semantics preserved
2026-08-14T13:46:26Z	regression	stress-tested worker environment termination immediately after async native work was queued	Node can forbid JavaScript during worker teardown; the manual red run observed AsyncWorker OnOK aborting during CleanupHandles	worker_threads child probe, binding.gyp NODE_API_SWALLOW_UNTHROWABLE_EXCEPTIONS	red: child aborted with SIGABRT; green: 10/10 bounded terminations and contract regression pass
2026-08-14T13:46:26Z	guard	wired source topology, include direction, ARC, teardown safety, and NativeBridge export parity into lint	architecture documentation alone cannot prevent the god file or hidden ABI drift from returning	scripts/check-native-architecture.cjs, package.json	10 modules and exact 26-export contract verified mechanically
2026-08-14T13:46:26Z	verification	validated the refactor across native builds, package builds, types, lint, unit, contract, environment teardown, and live macOS behavior	structural correctness is insufficient at AX, WindowServer, event, and pasteboard boundaries	npm run build:native; npm run build; npm run typecheck; npm run lint; npm test; npm run test:contract; npm run test:e2e	arm64 and x64 build; 230/230 unit; 14/14 contract; live suite 16 pass, 1 focus failure, 2 skip; failed case passed alone
2026-08-14T13:50:00Z	review	closed the independent final-review findings on teardown evidence and guard precision	a handoff review should challenge claims and tests, not only code structure	gpt-5.6-terra review; test/contract.test.ts; native/ARCHITECTURE.md; scripts/check-native-architecture.cjs	no blocking findings; follow-up confirms all P2/P3 flags resolved
